County,District,Sex,Age,Religion,Education,Years,Households,Have you had MoH approved training on COVID-19?,Have you been involved in educating the community on COVID-19?,Your main source of Income,Have you attended a course where COVID-19 vaccination was discussed?,"Do you have access to COVID-19 vaccination materials (literature, IEC materials) for quick reference when necessary?",Do you have a designated person with knowledge on COVID-19 vaccination whom you can consult when you have a question on COVID-19 vaccination?,Concerning how the COVID-19 vaccines work to prevent infection,To what extent do you think you are well-informed enough about COVID-19 vaccine to sensitize your family/ community members?,Do you know what the COVID-19 vaccine contains?,What should the people who have received the COVID-19 vaccine do?,The effectiveness of COVID-19 vaccines in preventing infection:,People who have already suffered COVID-19 infection:,ACQ1: Attitude on Contextual Influences,ACQ2: Attitude on Contextual Influences,ACQ3: Attitude on Contextual Influences,ACQ4: Attitude on Contextual Influences,ACQ5: Attitude on Contextual Influences,ACQ6: Attitude on Contextual Influences,ACQ7: Attitude on Contextual Influences,AIQ1: Attitude on Individual and Group Influences,AIQ12: Attitude on Individual and Group Influences,AIQ3: Attitude on Individual and Group Influences,AIQ4: Attitude on Individual and Group Influences,AIQ5: Attitude on Individual and Group Influences,AIQ6: Attitude on Individual and Group Influences,AVSQ1: Attitude on Vaccine safety and vaccination specific issues,AVSQ2: Attitudeon  Vaccine safety and vaccination specific issues,AVSQ3: Attitude on Vaccine safety and vaccination specific issues,AVSQ4: Attitude on Vaccine safety and vaccination specific issues,AVSQ5: Attitude on Vaccine safety and vaccination specific issues,AVSQ6: Attitude on Vaccine safety and vaccination specific issues,Source,Information
Nairobi,Kasarani,Female,Above 35 years,Protestant,Primary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Radio/TV,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,"2,4",Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV/IEC/Community meeting,Fellow health workers
Nairobi,Langata,Female,18-24 years,Islam,Secondary,3-5 years,More than 50,Yes,Yes,Other formal employment,Yes,Yes,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Social media,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Islam,Secondary,Above 5 years,More than 50,Yes,Yes,Other formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Other (Explain),No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Radio/TV,Other
Nairobi,Kasarani,Female,Above 35 years,Islam,Secondary,3-5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Radio/TV,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Islam,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,Yes,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Other (Explain),No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Somewhat,Radio/TV,Other
Nairobi,Westlands,Female,18-24 years,Others,Secondary,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,I don’t have any concerns about the COVID-19 vaccine,Very much,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,18-24 years,Others,Others,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,"1,8,9",Very much,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,25-35 years,Others,Secondary,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,Above 35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should not get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,I don’t have any concerns about the COVID-19 vaccine,Very much,Radio/TV,Fellow health workers
Nairobi,Westlands,Female,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media,Fellow health workers
Nairobi,Westlands,Female,18-24 years,Others,Others,3-5 years,More than 50,Yes,Yes,Other formal employment,No,No,Yes,I do not know how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Internet,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Somehow confident,Not too much,"3,8",Don't know,Radio/TV,Internet
Nairobi,Westlands,Female,Above 35 years,Others,Secondary,Less than 3 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,N/1,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Somewhat,"1,7,8",Somewhat,Radio/TV,Fellow health workers
Nairobi,Langata,Female,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,Yes,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Large extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Somehow confident,Not too much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Radio/TV,Fellow health workers
Nairobi,Kasarani,Female,Above 35 years,Others,Secondary,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Confident,Not at all,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Very much,Radio/TV,Fellow health workers
Nairobi,Langata,Other,25-35 years,Islam,Secondary,Above 5 years,20  or less,Yes,Yes,Other non-formal employment,No,No,Yes,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very confident,Very much,The COVID-19 vaccine might be very expensive for many people to afford,Somewhat,Radio/TV,Fellow health workers
Mombasa,Changamwe,Male,Above 35 years,Protestant,Secondary,Less than 3 years,21-50,No,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,Radio/TV,Fellow health workers,No,No,No,No,No,No,No,No,No,No,No,No,No,Not confident at all,Very much,The vaccine might cause chronic diseases,Not too much,Radio/TV,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Catholic,Others,Above 5 years,More than 50,No,No,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Community meetings,Fellow health workers,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Don't know,Don't know,"1,2,3",Not at all,Community meetings,Fellow health workers
Mombasa,Nyali,Female,25-35 years,Protestant,Secondary,Above 5 years,20  or less,No,No,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,IEC materials from MoH,Fellow health workers,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Not confident,Somewhat,"5,6,8",Not too much,IEC materials,Fellow health workers
Mombasa,Nyali,Female,25-35 years,Protestant,Others,Above 5 years,More than 50,No,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Community meetings,Fellow health workers,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Don't know,Don't know,"1,2,3,8",Don't know,Community meetings,Fellow health workers
Mombasa,Changamwe,Male,Above 35 years,Protestant,Secondary,Above 5 years,21-50,Not sure,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,Should get the COVID-19 vaccine,Social media,3HEW,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Somehow confident,Somewhat,Vaccine is only given to people who are seriously infected with the virus,Don't know,Social media,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Social media,Fellow health workers,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Not confident,Not too much,"1,3,8",Not too much,Social media,Fellow health workers
Mombasa,Nyali,Female,25-35 years,Protestant,Others,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Don't know,Don't know,I don’t have any concerns about the COVID-19 vaccine,Very much,Radio/TV,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,Other formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Internet,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Somehow confident,Don't know,"7,8",Don't know,Radio/TV,Internet
Mombasa,Nyali,Female,25-35 years,Protestant,Others,Above 5 years,More than 50,Yes,Yes,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Don't know,Don't know,The vaccine might cause chronic diseases,Don't know,Radio/TV,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Islam,Primary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Community meetings,Fellow health workers,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Not confident at all,Not too much,"1,8",Not too much,Community meetings,Fellow health workers
Mombasa,Nyali,Male,18-24 years,Protestant,Others,Less than 3 years,20  or less,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Social media,Fellow health workers,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Confident,Very much,Vaccines are not tested enough for safety,Don't know,Social media,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Protestant,Secondary,Above 5 years,20  or less,Yes,Yes,Other formal employment,No,Yes,Yes,I can explain to the community how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,IEC materials from MoH,Internet,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Not confident at all,Very much,The ingredients used to make the COVID-19 vaccine are unsafe,Not at all,IEC materials,Internet
Mombasa,Nyali,Female,Above 35 years,Others,Primary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,"1,2",3HEW,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Somehow confident,Somewhat,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media/Radio/TV,Friends/relatives
Mombasa,Nyali,Female,Above 35 years,Protestant,Secondary,Above 5 years,More than 50,No,No,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Somehow confident,Don't know,"5,6,8",Not too much,Radio/TV,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Islam,Secondary,Above 5 years,More than 50,No,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Friends/relatives,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not confident at all,Don't know,Vaccines are not tested enough for safety,Not too much,Radio/TV,Friends/relatives
Mombasa,Nyali,Female,Above 35 years,Islam,Others,Above 5 years,More than 50,No,No,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Not confident,Don't know,People cannot be vaccinated for a disease they do not have,Don't know,Radio/TV,Fellow health workers
Mombasa,Changamwe,Female,25-35 years,Islam,Secondary,3-5 years,21-50,No,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Not confident at all,Very much,The COVID-19 vaccine might weaken the immunity of the people,Not at all,Radio/TV,Fellow health workers
Mombasa,Changamwe,Female,25-35 years,Others,Secondary,3-5 years,21-50,No,No,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Community meetings,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Not confident,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Community meetings,Fellow health workers
Mombasa,Changamwe,Other,25-35 years,Islam,Secondary,Less than 3 years,21-50,No,No,Other non-formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Not confident at all,Don't know,Vaccines are not tested enough for safety,Somewhat,Radio/TV,Fellow health workers
Mombasa,Changamwe,Male,Above 35 years,Others,Primary,3-5 years,21-50,Not sure,No,Other formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Somehow confident,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Radio/TV,Fellow health workers
Mombasa,Changamwe,Male,25-35 years,Islam,Others,3-5 years,21-50,No,Yes,CHV work,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Average extent,Yes,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,I do not know,IEC materials from MoH,Internet,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Not confident,Not too much,I don’t have any concerns about the COVID-19 vaccine,Don't know,IEC materials,Internet
Mombasa,Changamwe,Female,Above 35 years,Others,Secondary,Above 5 years,21-50,No,Yes,Other formal employment,No,No,No,I do not know how the vaccines work,Small extent,No,I do not know,I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Not confident,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Radio/TV,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Catholic,Secondary,Above 5 years,More than 50,Not sure,No,CHV work,No,No,Yes,I can explain to the community how the vaccines work,Small extent,No,I do not know,I do not know,Should get the COVID-19 vaccine,Radio/TV,Internet,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Not confident at all,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Radio/TV,Internet
Mombasa,Kisauni,Male,18-24 years,Protestant,Others,Less than 3 years,20  or less,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,"1,2",Internet,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Don't know,Very much,"1,7,8",Don't know,Social media/Radio/TV,Internet
Mombasa,Nyali,Female,25-35 years,Catholic,Others,Less than 3 years,More than 50,Yes,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Not confident at all,Don't know,"5,6,8",Not too much,Radio/TV,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Catholic,Primary,Above 5 years,More than 50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Don't know,Don't know,"1,5,6",Don't know,Radio/TV,Fellow health workers
Mombasa,Kisauni,Female,Above 35 years,Catholic,Primary,Above 5 years,21-50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Don't know,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Radio/TV,Fellow health workers
Mombasa,Kisauni,Female,Above 35 years,Catholic,Others,Above 5 years,21-50,Yes,Yes,CHV work,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,"1,2,3",Fellow health workers,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not confident at all,Somewhat,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media/Radio/TV/IEC/Community meetings,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Others,Secondary,3-5 years,More than 50,Yes,Yes,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Social media,Fellow health workers,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Confident,Don't know,"1,6,7",Don't know,Social media,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Islam,Primary,Less than 3 years,21-50,Yes,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Small extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,Should get the COVID-19 vaccine,Community meetings,Fellow health workers,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Not confident at all,Very much,People cannot be vaccinated for a disease they do not have,Not at all,Community meetings,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Catholic,Secondary,Above 5 years,21-50,No,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Friends/relatives,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Very much,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Radio/TV,Friends/relatives
Mombasa,Kisauni,Female,Above 35 years,Islam,None,Above 5 years,More than 50,No,No,CHV work,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,Should get the COVID-19 vaccine,N/1,Other (Explain),No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Somewhat,The COVID-19 vaccine might weaken the immunity of the people,Somewhat,Social media/Radio/TV,Other
Mombasa,Changamwe,Female,Above 35 years,Islam,Primary,Above 5 years,21-50,No,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Not at all,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",I do not know,I do not know,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Somehow confident,Somewhat,I don’t have any concerns about the COVID-19 vaccine,Don't know,Radio/TV,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Others,Others,Above 5 years,21-50,No,No,Other formal employment,No,No,No,I do not know how the vaccines work,Not at all,No,I do not know,I do not know,I do not know,Community meetings,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Not confident at all,Don't know,I don’t have any concerns about the COVID-19 vaccine,Don't know,Community meetings,Fellow health workers
Mombasa,Nyali,Male,Above 35 years,Catholic,Others,3-5 years,More than 50,No,Yes,CHV work,No,No,No,I have an idea but I am not confident to explain to the community how the vaccines work,Large extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is quite high in vaccines that have been approved,Should get the COVID-19 vaccine,Radio/TV,Fellow health workers,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Somehow confident,Don't know,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Not too much,Radio/TV,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Catholic,Secondary,Above 5 years,21-50,No,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Average extent,No,"Still have to wear masks, social distance, and wash hands frequently to prevent COVID-19",Is still in doubt and will only be known once the COVID-19 vaccines that have been approved are used for some time,Should get the COVID-19 vaccine,1TTITU45 3ONT5XU1L,Fellow health workers,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Confident,Somewhat,People cannot be vaccinated for a disease they do not have,Not too much,Radio/TV,Fellow health workers
Mombasa,Nyali,Female,Above 35 years,Islam,Secondary,Above 5 years,More than 50,No,Yes,CHV work,No,No,No,I do not know how the vaccines work,Small extent,No,I do not know,I do not know,Should not get the COVID-19 vaccine,"1,2",my 3HEW or He1lth f13ility (ne1rer),No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Not confident,Don't know,The government might not be able to ensure enough supply of the vaccine and therefore result in a more negative effect,Somewhat,Social media/Radio/TV,Fellow health workers
Mombasa,Changamwe,Female,Above 35 years,Islam,Secondary,Above 5 years,More than 50,No,Yes,Other non-formal employment,No,No,Yes,I do not know how the vaccines work,Average extent,No,I do not know,I do not know,I do not know,Radio/TV,Friends/relatives,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Not confident,Don't know,The COVID-19 vaccine might weaken the immunity of the people,Somewhat,Radio/TV,Friends/relatives
